Lemma,Language Code,Lexical Category,Definition
အၚ်,mnw,noun,4 (n) bowl.   အၚ်ထဝ်အၚ်သြန် (n) bowls of gold and silver.   အၚ်သြန် (n) silver ucp. [Cf.] ဂရ၊ သၠိုၚ်။   [Der.] အၚ်ဒဲ (n) water vessel.
အၚ်,mnw,noun,"5 (n) အၚ်ဒကုတ် (n) monk’s bodice.   [Syn.] အၚ်သာ၊ အၚ်ဓုပ် (n) woman’s upper garment, {Hindi. Angi} woman’s under-jacket."
အၚ်,mnw,noun,6 (n) ယဲအၚ် (n) umbilical hernia. {umbilical. adj. မဆေၚ်စပ်ကဵုပေါၚ်လိုတ်}.
အၚ်ကုတ္တရနိကာဲ,mnw,noun,"(n) [P.] Anguttara nikayo, the name of the fourth division of suttapitaka."
အၚ်ကုတ္တဵု,mnw,noun,(n) the same as အၚ်ကုတ္တရနိကာဲ (n) the Anguttara Nikaya of Sutta Pitaka.
အၚ်စိၚ်,mnw,noun,(n) Eang coing. [Bur. Insein]. [Cf.] ကၟာ၊ လှာ။
အၚ်ထဝ်,mnw,noun,(n) gold cup. [id] သၠိုၚ်ထဝ်။
အၚ်ထဝ်အၚ်သြန်,mnw,noun,(n) bowls of gold and silver.
အၚ်ဒကုတ်,mnw,noun,(n) monk’s bodice.
အၚ်ဒိုၚ်,mnw,noun,(n) oil tree. [id] တၞံဂယာၚ်၊ တၞံဒယာၚ်။
အၚ်ဒဲ,mnw,noun,(n) water vessel.
အၚ်ရေၚ်,mnw,noun,(n) lard shorea tree.
အၚ်လှာ,mnw,noun,"(n) chain of small ponds. place-name,"
